Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote
161306,JONES REGIONAL MEDICAL CENTER,1795 HIGHWAY 64 EAST,ANAMOSA,IA,52205,JONES,(319) 462-6131,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,1,3,0,,8,8,,12,6,
161307,HANCOCK COUNTY HEALTH SYSTEM,532 1ST ST NW,BRITT,IA,50423,HANCOCK,(641) 843-5000,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,1,3,0,,8,Not Available,5.0,12,6,
161308,FRANKLIN GENERAL HOSPITAL,1720 CENTRAL AVENUE EAST,HAMPTON,IA,50441,FRANKLIN,(641) 456-5000,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,7,
161309,CHI HEALTH MISSOURI VALLEY,631 N 8TH ST,MISSOURI VALLEY,IA,51555,HARRISON,(712) 642-2784,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,7,
161310,ADAIR COUNTY MEMORIAL HOSPITAL,609 SE KENT,GREENFIELD,IA,50849,ADAIR,(641) 743-2123,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,3,
161311,HAWARDEN REGIONAL HEALTHCARE,1111 11TH STREET,HAWARDEN,IA,51023,SIOUX,(712) 551-3100,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,5,
161312,GUTTENBERG MUNICIPAL HOSPITAL,200 MAIN STREET,GUTTENBERG,IA,52052,CLAYTON,(563) 252-1121,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,6,
161313,GENESIS MEDICAL CENTER-DEWITT,1118 11TH STREET,DEWITT,IA,52742,CLINTON,(563) 659-4200,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,6,
161314,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,GUTHRIE,(641) 747-2201,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161315,KEOKUK COUNTY HEALTH CENTER,23019 HIGHWAY 149,SIGOURNEY,IA,52591,KEOKUK,(641) 622-2720,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,2,
161316,GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS,112 JEFFERSON STREET,WEST UNION,IA,52175,FAYETTE,(563) 422-3811,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,6,
161317,COMPASS MEMORIAL HEALTHCARE,300 W MAY ST,MARENGO,IA,52301,IOWA,(319) 642-5543,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,5,
161318,VETERANS MEMORIAL HOSPITAL,40 1ST STREET SE,WAUKON,IA,52172,ALLAMAKEE,(563) 568-3411,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5.0,12,3,
161319,MERCYONE ELKADER MEDICAL CENTER,901 DAVIDSON STREET NW,ELKADER,IA,52043,CLAYTON,(563) 245-7000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
161320,COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,909 WEST FIRST STREET,SUMNER,IA,50674,BREMER,(563) 578-3275,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,3,
161321,AVERA MERRILL PIONEER HOSPITAL,1100 S 10TH AVE,ROCK RAPIDS,IA,51246,LYON,(712) 472-2591,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,2,
161322,DALLAS COUNTY HOSPITAL,610 TENTH STREET,PERRY,IA,50220,DALLAS,(515) 465-3547,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,4,
161323,MITCHELL COUNTY REGIONAL HEALTH,616 NORTH EIGHTH STREET,OSAGE,IA,50461,MITCHELL,(641) 732-6000,Critical Access Hospitals,Government - Federal,No,,Not Available,16,7,1,0,0,1,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161324,GEORGE C GRAPE COMMUNITY HOSPITAL,2959 US HIGHWAY 275,HAMBURG,IA,51640,FREMONT,(712) 382-1515,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,3,
161325,GREENE COUNTY MEDICAL CENTER,1000 WEST LINCOLN WAY,JEFFERSON,IA,50129,GREENE,(515) 386-2114,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,5,
161326,MADISON COUNTY HEALTH CARE SYSTEM,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,MADISON,(515) 462-2373,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,5,
161327,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD,IA,52537,DAVIS,(641) 664-2145,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,6,
161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,235 8TH AVENUE WEST,CRESCO,IA,52136,HOWARD,(563) 547-2101,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,2,3,0,,8,Not Available,5.0,12,5,
161329,JACKSON COUNTY REGIONAL HEALTH CENTER,700 W GROVE ST,MAQUOKETA,IA,52060,JACKSON,(563) 652-2474,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161330,AUDUBON COUNTY MEMORIAL HOSPITAL,515 PACIFIC AVENUE,AUDUBON,IA,50025,AUDUBON,(712) 563-2611,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
161331,MERCY MEDICAL CENTER-NEW HAMPTON,308 NORTH MAPLE AVENUE,NEW HAMPTON,IA,50659,CHICKASAW,(641) 394-4121,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161332,MANNING REGIONAL HEALTHCARE CENTER,1550 SIXTH STREET,MANNING,IA,51455,CARROLL,(712) 655-2072,Critical Access Hospitals,Voluntary non-profit - Private,No,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,3,
161333,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,STORY,(515) 382-2111,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,6,
161334,HUMBOLDT COUNTY MEMORIAL HOSPITAL,1000 NORTH 15TH STREET,HUMBOLDT,IA,50548,HUMBOLDT,(515) 332-4200,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,5,
161335,BUCHANAN COUNTY HEALTH CENTER,1600 FIRST ST EAST,INDEPENDENCE,IA,50644,BUCHANAN,(319) 332-0999,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,5,
161336,HEGG MEMORIAL HEALTH CENTER,1202 21ST AVENUE,ROCK VALLEY,IA,51247,SIOUX,(712) 476-8000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161337,VAN BUREN COUNTY HOSPITAL,304 FRANKLIN STREET,KEOSAUQUA,IA,52565,VAN BUREN,(319) 293-3171,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161338,MERCYONE OELWEIN MEDICAL CENTER,201 EIGHTH AVENUE SE,OELWEIN,IA,50662,FAYETTE,(319) 283-6000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
161339,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,BREMER,(319) 352-4120,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,6,
161340,DECATUR COUNTY HOSPITAL,1405 NW CHURCH STREET,LEON,IA,50144,DECATUR,(641) 446-4871,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,3,
161341,LUCAS COUNTY HEALTH CENTER,1200 NORTH 7TH STREET,CHARITON,IA,50049,LUCAS,(641) 774-3000,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,7,
161342,MONROE COUNTY HOSPITAL,6580 165TH STREET,ALBIA,IA,52531,MONROE,(641) 932-2134,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,1,1,,8,Not Available,5.0,12,6,
161343,REGIONAL MEDICAL CENTER,709 W MAIN STREET,MANCHESTER,IA,52057,DELAWARE,(563) 927-3232,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,5,
161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,WASHINGTON,(319) 653-5481,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,1,3,0,,8,Not Available,5.0,12,3,
161345,OSCEOLA COMMUNITY HOSPITAL,600 9TH AVENUE NORTH,SIBLEY,IA,51249,OSCEOLA,(712) 754-2574,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,4,
161346,SIOUX CENTER HEALTH,1101 9TH STREET SE,SIOUX CENTER,IA,51250,SIOUX,(712) 722-1271,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,8,,12,5,
161347,FLOYD COUNTY MEDICAL CENTER,800 11TH ST,CHARLES CITY,IA,50616,FLOYD,(641) 228-6830,Critical Access Hospitals,Government - Local,Yes,Y,3,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,7,
161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,CLARKE,(641) 342-2184,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,Not Available,5.0,12,6,
161349,VIRGINIA GAY HOSPITAL,502 NORTH 9TH AVENUE,VINTON,IA,52349,BENTON,(319) 472-6200,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,6,
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY,IA,51449,CALHOUN,(712) 464-3171,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,4,
161351,AVERA HOLY FAMILY HOSPITAL,826 NORTH 8TH STREET,ESTHERVILLE,IA,51334,EMMET,(712) 362-2631,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,0,5,0,,8,Not Available,5.0,12,5,
161352,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,CLARINDA,IA,51632,PAGE,(712) 542-2176,Critical Access Hospitals,Government - Local,Yes,,4,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,6,1,5,0,,8,Not Available,5.0,12,7,
161353,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA,IA,50511,KOSSUTH,(515) 295-2451,Critical Access Hospitals,Government - Local,Yes,Y,2,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,8,
161354,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,IDA,(712) 364-3311,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,5,
161355,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,IA,50138,MARION,(641) 842-2151,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,6,
161356,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,IA,52641,HENRY,(319) 385-3141,Critical Access Hospitals,Physician,Yes,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,2,0,2,0,,8,Not Available,5.0,12,3,
161357,PALO ALTO COUNTY HOSPITAL,3201 1ST STREET,EMMETSBURG,IA,50536,PALO ALTO,(712) 852-5500,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,3,0,3,0,,8,Not Available,5.0,12,6,
161358,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,CORYDON,IA,50060,WAYNE,(641) 872-2260,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,6,2,4,0,,8,Not Available,5.0,12,2,
161359,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA,IA,51040,MONONA,(712) 423-2311,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,2,0,1,1,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,5,
161360,ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY,IA,51041,SIOUX,(712) 737-2000,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,4,0,4,0,,8,8,,12,4,
161361,VAN DIEST MEDICAL CENTER,2350 HOSPITAL DRIVE,WEBSTER CITY,IA,50595,HAMILTON,(515) 832-9400,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,1,3,0,,8,Not Available,5.0,12,5,
161362,CHEROKEE REGIONAL MEDICAL CENTER,300 SIOUX VALLEY DRIVE,CHEROKEE,IA,51012,CHEROKEE,(712) 225-5101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,7,2,0,1,1,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,8,,12,6,
161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,2301 EASTERN AVENUE,RED OAK,IA,51566,MONTGOMERY,(712) 623-7000,Critical Access Hospitals,Government - Local,Yes,,3,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,8,0,8,0,,8,Not Available,5.0,12,5,
161364,JEFFERSON COUNTY HEALTH CENTER,2000 S MAIN,FAIRFIELD,IA,52556,JEFFERSON,(641) 472-4111,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,6,0,5,1,,8,8,,12,7,
161365,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE STREET,CRESTON,IA,50801,UNION,(641) 782-7091,Critical Access Hospitals,Government - Local,Yes,Y,4,,7,4,0,4,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,8,
161366,SHENANDOAH MEDICAL CENTER,300 PERSHING AVENUE,SHENANDOAH,IA,51601,PAGE,(712) 246-1230,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,0,5,0,,8,Not Available,5.0,12,6,
161367,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,MARION,(641) 628-3150,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,4,,7,4,0,4,0,,8,2,0,2,0,,11,7,0,7,0,,8,8,,12,9,
161368,FLOYD VALLEY HEALTHCARE,714 LINCOLN ST NE,LE MARS,IA,51031,PLYMOUTH,(712) 546-7871,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,0,5,0,,8,8,,12,5,
161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,CRAWFORD,(712) 263-2500,Critical Access Hospitals,Government - Local,Yes,,2,,7,4,0,4,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,5,1,4,0,,8,8,,12,4,
161370,LORING HOSPITAL,211 HIGHLAND AVENUE PO BOX 217,SAC CITY,IA,50583,SAC,(712) 662-7105,Critical Access Hospitals,Voluntary non-profit - Private,No,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,5,
161371,WINNMED,901 MONTGOMERY STREET,DECORAH,IA,52101,WINNESHIEK,(563) 382-2911,Critical Access Hospitals,Government - Local,Yes,Y,2,,7,3,0,3,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,5,
161372,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,BOONE,(515) 432-3140,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,6,
161373,RINGGOLD COUNTY HOSPITAL,504 NORTH CLEVELAND STREET,MOUNT AYR,IA,50854,RINGGOLD,(641) 464-3226,Critical Access Hospitals,Government - State,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,4,
161374,MYRTUE MEDICAL CENTER,1213 GARFIELD AVENUE,HARLAN,IA,51537,SHELBY,(712) 755-5161,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,,7,3,0,3,0,,8,1,0,1,0,,11,4,1,3,0,,8,8,,12,9,
161375,BUENA VISTA REGIONAL MEDICAL CENTER,1525 WEST 5TH STREET,STORM LAKE,IA,50588,BUENA VISTA,(712) 732-4030,Critical Access Hospitals,Government - Local,Yes,,3,,7,3,0,3,0,,8,1,0,1,0,,11,7,0,7,0,,8,8,,12,5,
161376,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,ATLANTIC,IA,50022,CASS,(712) 243-3250,Critical Access Hospitals,Government - Local,Yes,Y,4,,7,3,0,3,0,,8,3,0,3,0,,11,6,0,6,0,,8,8,,12,7,
161377,MERCYONE CENTERVILLE MEDICAL CENTER,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,APPANOOSE,(641) 437-4111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,Not Available,5.0,12,6,
161378,MERCYONE DYERSVILLE MEDICAL CENTER,1111 3RD STREET SW,DYERSVILLE,IA,52040,DUBUQUE,(563) 875-2900,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,3,
161379,MAHASKA  HEALTH PARTNERSHIP,1229 C AVENUE EAST,OSKALOOSA,IA,52577,MAHASKA,(641) 672-3100,Critical Access Hospitals,Government - Local,Yes,Y,2,,7,4,0,4,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,0,4,0,,8,8,,12,7,
161380,HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,50126,HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,4,1,3,0,,8,Not Available,5.0,12,5,
161381,SANFORD SHELDON MEDICAL CENTER,"118 NORTH SEVENTH AVENUE, PO BOX 250",SHELDON,IA,51201,OBRIEN,(712) 324-5041,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5,11,2,0,2,0,,8,Not Available,5.0,12,5,
161382,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,311 SOUTH CLARK STREET,CARROLL,IA,51401,CARROLL,(712) 792-3581,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,Not Available,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,5.0,Not Available,Not Available,5.0
171300,GRISELL MEMORIAL HOSPITAL,210 SOUTH VERMONT AVENUE,RANSOM,KS,67572,NESS,(785) 731-2231,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,3,
171301,ELLINWOOD DISTRICT HOSPITAL,605 N MAIN STREET,ELLINWOOD,KS,67526,BARTON,(620) 564-2548,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,3,
171303,LANE COUNTY HOSPITAL,235 WEST VINE  PO BOX 969,DIGHTON,KS,67839,LANE,(620) 397-5321,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,3,
171304,ASHLAND HEALTH CENTER,625 SOUTH KENTUCKY STREET,ASHLAND,KS,67831,CLARK,(620) 635-2241,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,3,
171306,WICHITA COUNTY HEALTH CENTER,211 E EARL STREET,LEOTI,KS,67861,WICHITA,(620) 375-2233,Critical Access Hospitals,Government - Local,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,4,
171307,RAWLINS COUNTY HEALTH CENTER,707 GRANT ST,ATWOOD,KS,67730,RAWLINS,(785) 626-3211,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5,11,1,0,1,0,,8,Not Available,5.0,12,5,
